completion,prompt
C,"I am so incredibly excited for the start of #DMVSummerBash21 tomorrow! We have such an amazing show planned! Thank you to our presenting sponsor, Events DC all of our incredible partners: Virginia Youth Soccer Association, Washington Justice, Gamer Advantage, HyperX, University of Maryland Discovery District, MedStar Health, DC Department of Parks and Recreation, Esports Fair Play and Monumental Sports & Entertainment! Check out the full schedule and our Summer Bash Trailer below! https://lnkd.in/dXWcY3pW See you tomorrow!!!"
A,A sunset on Mars taken by the Curiosity Rover
C,"This week, I recorded the audiobook version of #MyLifeinFull. When Penguin Random House initially proposed that I read the book, I wasn’t convinced that I would be the best narrator. I toyed a lot with who the voice behind my story should be — my daughters? A colleague or a mentor? Maybe even a celebrity? But then I realized that this book is called My Life in Full for a reason. It's my story, a story I know like the back of my hand and one that I should share in my own voice. It was a surreal experience, reliving my life as I read the book aloud. I can’t wait to share it with you. My Life in Full will be available in print, eBook and audio on September 28th. Pre-order your copy today: https://lnkd.in/dcDMqzV"
S,"LinkedIn, I need your help. My mother is stuck in Afghanistan. She immigrated to Canada 30 years ago to escape the Taliban, but back in June, she decided to travel back home to see her family. As of today, she has no idea how she is getting home. Since she is a Canadian citizen, I'm working with the government to get her back home ASAP. On top of that, she has about 7 family members who want to escape with her. I've never dealt with anything like this before and truly don't know what else to do besides emailing a few folks. I'm out of options. If anyone has any guidance, advice or contacts that I should get in touch please let me know. Hoping to leverage my social networks to find a solution. Appreciate any help you can offer. #refugeesupport #immigration #afghanlivesmatter"
S,"I will have a conversation with friends from VC/PE funds and The World No.1 Muslim Lifestyle App. Details: 24th August, 2pm - 3:15pm MYT (free registration) Johan Rozali-Wathooth from Bintang Capital Partners Berhad Erman Akinci | Emissary Capital Nik Emir Din | Bitsmedia Ying Ling Lum, ACCA | Creador Capital #venturecapital #funding #entrepreneurs #startups #privateequity"
A,Zero Trust in 4 minutes #zerotrustsecurity
C,"Congrats Forage (YC W19)! Forage partners with employers to create open access online training courses for college students, simulating real work that employees would undertake and enabling them to build the skills and the confidence to land their first job. https://lnkd.in/gEqahaF7"
C,"HUGE congrats to Nanea Reeves Mani Srinivasan Jason Asbahr, David Starfire, Justin Boreta and the TRIPP, Inc. team on their oversubscribed funding round and coverage in Forbes! It's been an inspiring, challenging and deeply meaningful honor to work with TRIPP in helping to pioneer the field of ""TechnoDelics,"" employing technology to provide additional modalities for inner wellness and healing. I'm a strong believer that when wielded intentionally and carefully, technology can support and possibly augment the crucial foundations of Set and Setting for Psychedelic Medicine."
C,Welcome Wouleta Ayele our new CTO to the sweetgreen executive team!
A,France is the only country to force supermarkets to give unsold food to the needy.
A,"Digital Transformation - A faster way to growth #digitaltransformation could help business' improve their productivity, thereby providing increased value to customers. Digital transformation journey can start with understanding below points: 1. The challenges faced by the business 2. Benefits of successful digital transformation 3. The steps to undertake for successful digital transformation Typical challenges faced by any business is in storing, maintaining and using data, automating processes (production line, accounting and finance, inventory management, procurement). Some of the benefits of digitalization are data analysis, reduced costs, faster and efficient reach towards end product or service, better collaboration, measure various parameters like performance, growth etc. #dataanalysis can be used to provide customized services/products, predict future trends, acquire new customers, formulate strategies, thereby retaining or building competitive advantage. Few steps towards successful digitalization include: 1. Understanding the business domain, flow and processes. This step cannot be emphasized enough. 2. Deciding the right technology platforms and systems. 3. Implement and deploy the digital system. Put the required IT infrastructure in place. During this phase it is important to get continuous feedback from the business. 4. Educating employees with new ways of operations created through digitalization. 5. Business should be empowered to reap full benefits of digitalization. It should be able to measure the success of this transformation. NOW is the time to prioritize investment in digital transformation and recognize it's impact on business growth. #digitaltransformation #data #technology #business #automation #growth #productivity #success"
A,"Deezer #charity has worked with Trans artist and activist Mila Jam to bring the iconic song ""It's Raining Men"" into the 2020s in a new, inclusive version called ""It's Raining Them"", exclusive on Deezer. This song will be the flagship track on our Queer Culture channel and our share of the revenue will be donated to the charity Gendered Intelligence #diversityequityandinclusion"
C,"Deel and Shuo Wang are number one among the new 2021 unicorns founded by women! Yes, above Rihanna 😎"
C,A new music industry unicorn - DistroKid hits an evaluation milestone
C,"RUN System, one of our first investments at Centauri Fund as just announced that they will be going public on the Indonesia Stock Exchange. This is very exciting as it is not only Centauri Funds first exit but it will also be MDI Ventures and Indigo Creative Nation first IPO at our local stock exchange. The journey of Run System has truly been an underdog story that very few knew about or believed in, but in spectacular fashion they have performed beyond all odds. Not only have they been profitable from day one, but they have been able to grow at triple digit CAGR (on both top and bottom line) with minimal external capital requirements (aside from our capital of course). Whoever thought that a tech startup can be high growth and also maintain a positive bottom line (and sizable bottom lines). Congratulations to Sony Rachmadi Purnomo, Tan Kian Gee and the Run System's team on this momentous achievement. >>> Swipe till the end for a hilarious meme >>> #venturecapital #centaurifund #mdiventures #indigocreativenation #telkomindonesia #investments #startup #tech #indonesia #ipo #initialpublicoffering #idx #indonesiastockexchange"
A,You don’t need to be the first billionaire to tour space on a galactic flight to experience the elevation that drinking from a glass bottle brings you. #chooseglass
C,"Most of my close friends know that I wanted to be a podcast producer, but I assumed it would never happen.  I now start most days feeling shocked, humbled, and excited that I get to produce SafeGraph and Auren Hoffman 📚's World of DaaS. I'm really excited to share that World of DaaS is #49 on Spotify's Top Technology Podcast list. Friends, please give it a listen and let us know what you think!"
A,"A vibrant shade of purple was developed by Pentagram for the identity of #WeThe15, as this represents the international colour of disability. 💜 To honour this, a total of 125 iconic global landmarks across 6 continents will be illuminated in purple. It’s been a pleasure to work amongst the talented agencies making this happen FleishmanHillard, Porter Novelli, Portland. Find out more at wethe15.org"
A,"At GANNI we believe it is our moral duty to reduce the impact of fashion industry on the planet, also by prolonging the life of our products. Secondhand market can offer brands the opportunity to keep the clients engaged, generate additional value and use resources more efficiently. #fashionindustry #sustainability #circulareconomy #innovation"
A,Throwback photo from producing the Rise Interactive “Faster” brand video.
A,"If you aren’t yet #investing in your child’s future, now is the time! Spend 3 mins this weekend setting up your EarlyBird account and I will personally send you a $15 gift 🥳 Just DM here! Have a wonderful weekend! #invest #generationalwealth #giftwealth #investnow #financefreedom"
S,"Happy National Latina Day. Support your fellow Latina by recommending her business or side hustle to a friend, buy from their business, give them that raise they most definitely deserve, promote them, celebrate them! #NationalLatinaDay"
A,The Census data was published. What does it mean for data journalists?
C,"When you take your son Gavin Baratta to college for the first time - far far far (Beaumont, Texas) from home and the coaching staff @WillDavis44 @CoachHat10 meets him to help move his “stuff” into his dorm… now that’s special @Lamar_Baseball @BergenCatholic #believeandachieve #LamarU #PeckEm"
C,"Weeks like this are when I wish we had the entire Onramp Invest #team in one office. Had lots of honest conversations, personal things impacting families, etc. Through all that we got stronger, no one stopped pulling on the rope. Absolutely #love what we're building! #family"
C,"I am thrilled to be joining the team at NOCD, working to improve mental health care and access. NOCD provides ERP therapy and other specialized treatment through its online platform for OCD and related disorders. I couldn't be more excited to be part of this innovative company helping people get better and stay better. Thank you to Paul, Weiss, Rifkind, Wharton & Garrison LLP for all of the opportunities over the past several years, including helping me make this move!"
C,In case you missed it – Texas Heart Institute is partnering with Texas Children's Hospital and the Baylor College of Medicine to improve pediatric heart transplants! Learn more: https://bit.ly/32PK4Y3 #THI #Baylor #TexasChildrens #Pediatrics
A,Its happening and happening fast! #institutionalization of #crypto!
A,"Did you know that our Sudharshan Sathiyamoorthy, VP of our Richter Family Office, holds a Ph.D. in Atmospheric Physics? Before joining Richter, Sudharshan's work contributed to global research on the impact of the oceans on the atmosphere!  He's published his research in academic journals, presented at scientific conferences, and spent part of his academic career at the prestigious Woods Hole Oceanographic Institution in Cape Cod, MA. Now as Head of Research, Sudharshan evaluates a range of investment opportunities for our clients, including private equity and venture capital, real estate, and public market strategies such macro strategies, activism, trade finance and commodity strategies. Get to know Sudharshan: https://lnkd.in/g4KYBjHe"
C,I just published a piece on something I have been working on my whole life: How to launch a School of Transformation that democratizes access critical methods and tools... #ulab
C,"Had the pleasure of highlighting the Surdna Foundation at Mosaic Genius' Gathering in Martha’s Vineyard. Surdna Foundation has invested over $125M in the Inclusive Economies Initiative. https://lnkd.in/gP5-mQsw Directors Mekaelia Davis and Patrice R Green did a stellar job of updating everyone on the foundation's work in the community.     Very grateful to have been a part of the MV 2021 cohort of leaders and impact investors committed to closing the wealth gap and improving social outcomes. Attendees included representatives from foundations and companies such as Rockefeller foundation, Silicon Valley Bank, Goldman Sachs, Hilton Family Foundation, Facebook, Milken Institute and LinkedIn. Bravo Christal M. Jackson and team - well done!! Thanks for pulling us together! Click here for LinkedIn Live… https://lnkd.in/gsZUzWYD"
C,"Excited and Honored to be participating and speaking at the Harvard Project for Asian and International Relations (HPAIR) - kicking off tomorrow - Aug 20 - 23 - and IF you were one of the chosen selects to attend - I will see you there - pls say hi. I'll be speaking on Sunday, the 22nd - at 2pm Bangkok time, or 3pm Taiwan time - Right before the one and only Muhammad Yunus - !!!!! - Catch Justin Kan, Nadiem Makarim - GoJek founder and Current Minister of Education, Culture, Research & Tech Indonesia, Adam D'Angelo CEO of Quora and Randy Freer ex-COO Hulu, Bob Sternfels Global MD of McKinsey & Company amongst the Yuriko Koike Governor of Tokyo, Katherine Tai Biden Administration Heads of State, and Steve Aoki among many others. For those who want to attend but didn't get tickets for HPAIR - you can join the deep dive w Ask Me Anything w me and Julian Tse right after: 330pm Thailand time, Sunday Aug 22. https://lnkd.in/gPzPRWux For more information: https://lnkd.in/gXCZsMBe Special thanks to Julian Tse for having me :) #wontstopcantstop #hpair2021"
C,"Great day setting up WA's new office at Common Desk in the beautifully refurbished space by The Ion Houston. Fun fact - As a teenager, my mom worked in this very same building when it used to be Sears. #accountingservices #tech #startup"
A,"Get in touch, without getting stuck. #Startup #Trucking #Freight #logistics #transportation #fleet #fleetmanagement"
C,"Excited to share with the network a new article that Thomas DeLuca and I wrote in #greenbiz. To devise and implement effective #naturebasedsolutions strategies, corporate sustainability teams need entirely new skillsets and expertise. #corporatesustainability #carbonneutral #futureofwork #forestry #carbonoffsets #masstimber #bioproducts"
A,The newly released Inclusive Growth Score in the UK provides data-driven insights to leaders interested in driving #InclusiveGrowth. Learn more: https://mstr.cd/3ALTF14 #FinancialInclusion
A,"""We see 5G doing two things: increasing speed and lowering the latency of existing processes to create some really Jetson-esque new shopping and payment capabilities,"" Femi Odunuga of Mastercard on how the company is using #5G technology to transform the #payments industry https://lnkd.in/eQ2zQThX"
S,Another great new store opening for rue21 at the Houston Premium Outlets on 8/19/21. Come visit us. Congrats to all involved in getting this store up and running.
S,Amazing opportunity in Planning. Come join the team!
A,Special edition #InnovatorsToKnow roundup today! These three founders raised fresh funds — congrats to them! #houtech #houstonbusiness #venturecapital Omair T. Moody Heard Moji Karimi
S,One of our clients wants to enhance its team by adding a leader focused on real estate strategy and analytics. This role provides an excellent opportunity to join a great team that embraces analytics and has invested in their data to provide a foundation for delivering analytical insights.  https://lnkd.in/d8QnNPAN
A,"The Myth of the Girl Boss. Too often female CEOs are portrayed as having it all – smarts, ambition, super polished look, and ninja like multitasking abilities. I say more power to those women, if they actually exist. The reality – at least for me – is much messier. I work long hours looking anything but glamorous. Multitasking for me often involves doing a lot of things half-ass but at least getting them done, reading financial reports while waiting in the carpool line at my daughter’s school, squeezing in a webinar on how to format excel spreadsheets while doing the laundry, and the list goes on. I’m often travelling for work – not business class on Delta hanging out in the Sky Club Lounge – but driving a used hybrid to visit our stores, warehouse, and candy plant. I count inventory at our warehouse during our annual inventory count. And I work trade shows along with the rest of our small but mighty team – pushing to sell pecan log rolls and turn this scrappy company around, one new retail account at a time. I’m posting this so other women who see the picture-perfect moments on LinkedIn know that there are lots of unglamorous moments behind-the-scenes. But, flashy or not, it’s those moments that count."
C,"The Infatuation has partnered with Tate's Bake Shop to create a 360-degree partnership inclusive of content, custom social, influencers, newsletters and an exclusive Picnic Pack stocked with all of the things you’ll need for a killer picnic: from portable speakers to a lush blanket, reusable silicone cups, playing cards, a frisbee, reusable ice cubes, and of course, the sweetest part of any picnic, Tate’s Chocolate Chip Cookies! Enter for the chance to win your own Tate's Perfect Picnic Pack! https://lnkd.in/dFviQmhJ Big thanks to everyone who worked so hard to bring this to life! (apologies if I missed anyone!) Lydian V. Mandy Jo Walker Jennifer Houston Alexandra Friedman Andrew Steinthal Mikey Gibson Adam Zakrzewski Allison Zilbershatz Julie Graybill Kristen Reid WeFeast Andrew Steinthal Lauren Sella Jessica Koscialkowski #brandpartnerships #sweepstakes #tates #collaboration #cookies #summer2021 #tatesbakeshop #eeeeeats"
A,YES!!!!!! 👏🏾👏🏾👏🏾❤️❤️❤️ #truth
A,"Serena Williams is pairing up with Nike to try to bring more people of color into the world of fashion design. On Tuesday, the 39-year-old tennis legend joined Nike (NKE) in unveiling a collection of women's athleisure wear and accessories, created by a group of 10 up-and-coming designers known as the Serena Williams Design Crew, or SWDC. Nike selected the group two years ago as part of its ""diversity in design"" apprenticeship program, which seeks to elevate designers of color who are underrepresented in the fashion design world. https://lnkd.in/gXV-knXA?"
C,"After several years of working in industry at Tripadvisor and Niantic, Inc., I am excited to announce that this Fall I will be starting a Master of Science in Data Science at Institute for Applied Computational Science (IACS) at Harvard University. I will focus on ethical/bias implications in ML, AI fairness, and interpretable machine learning. As a first-generation college graduate from a low-income refugee family raised in Las Vegas during the 2008 financial crisis, survival in America felt precarious, high-stakes, and at times impossible all at once. So much hung in the balance with every step I took. The support of family, friends, colleagues, professors, organizing community, and mentors whose collective belief in me outmeasured my own made each stride feel lighter and possible. Not in my or my ancestors’ wildest dreams would I imagine that steps along that winding path would lead me through Harvard University's ivory gates and beyond. In Vietnamese, there is a proverb that goes: ""Ăn quả nhớ kẻ trồng cây."" This directly translates to — ""When eating fruit, think of those who planted the tree."" A big-shout and thank you to my mentors who invested in my growth — from organizations such as QuestBridge, Data Science for Social Good Foundation, The Alan Turing Institute, Asian American Resource Workshop (AARW) to my current, past managers, and mentors Yuan He, Jennifer Li, Michael Strickman, Julie Hong, Casper Mardahl, Hari Prasad Thadakamalla, Angela Lyda, Andy Webb, Paul Mahony, Martin Wells. I feel extremely lucky to have grown so much under your leadership. Onwards! #harvard #datascience #firstgeneration"
A,"After such a painful and heartbreaking week with everything unfolding in Afghanistan, I'm grateful I started my day reading this beautiful column in Newsweek by Fran Benjamin. Fran's husband, Rabbi Jason Rodich of Congregation Emanu-El of San Francisco, is a dear friend who officiated my wedding in 2019. I deeply admire and respect both of these extraordinary humans who bring out the best of Jewish and LGBTQ life. Definitely give this column a read - you won't regret it - and for those looking to improve their work in the DEIJ space, know that Fran runs a whole consulting practice in the field! #FridayReads #LGBTQ #Jewish #JewishCommunity #DEIJ #diversityequityinclusion #dei #newsweek #dragqueen #rabbi #nonbinary #nonbinarypride"
A,Check out number 2. Thank you Forbes for highlighting the importance of understanding human nature. #EmotionAI #behavior #behavioralpsychology #predictiveanalytics #successstories
A,True kindness is different than just being nice. Kindness requires honest feedback and honest feedback requires strength. That strength is much better achieved when you have a culture in which people trust each other and know that they are working together towards a shared goal.
C,"Congratulations to the No.1 company on the 2021 #Inc5000 list - Human Bees. Here’s a look inside the precipitous rise of the staffing company — and the buzz around its success (pun intended).  Wonderful news for two remarkable founders, Geetesh Goyal and Ranil Piyaratna and their team: Eileen Adams, Nick Cavanagh, Nick Clark, JoAnn Proctor, Kimberly Haynes, Marco Espinosa, Angela Murray, Tabatha Bettencourt and Kelly G."
C,"In 2020 alone, Deliveroo processed a total of £4.08 billion, with over 90% of the volume being on Stripe. It also recovered more than £100 million in revenue by using several Stripe features. Here is a closer look at the different ways Deliveroo and Stripe have worked together over the years"
A,This Is What Leadership Will Be In 2030.
A,"Is ego-dissolution always a positive experience? Dread of ego-dissolution is one of the factors of the Altered States Questionnaire (Dittrich, 1998) which is one of the most widely used subjective measures of the psychedelic state. Dread of ego-dissolution is considered to entice negative, anxiety laden experiences and are often associated with what people might label as “bad trips”. It includes items measuring negatively experienced depersonalisation, cognitive disturbances, paranoia and anxiety over loss of thought and body control. It is also important to note that although this factor is named dread of ego-dissolution, it only captures limited aspects of the ego-dissolution experience. In a study conducted by Roseman, Nutt & Carhart-Harris (2018), the dread of ego-dissolution factor in psilocybin sessions was found to be negatively related to long-term positive outcomes in treatment-resistant depression. On the other hand, psilocybin experiences that shared features with the Oceanic Boundlessness factor of the scale (and are more similar to the mystical-type experience) were found to be more positively related to long-term positive outcomes. Dread of ego-dissolution was reported less than the feelings of unity associated with Oceanic Boundlessness. Artist: Anderson Debernardi #ChacrunaInstitute #AlteredStatesTuesdays #Psychedelics #PsychedelicScience #Psilocybin #Egodissolution #Egodeath"
A,"""At Wells Fargo, we are committed to assisting organizations like Caravanserai Project, the lnland Empire Community Collaborative and the Inland Empire Community Foundation that strengthen our local community by providing so many resources to our local business community members,” - Flor Tolley, Wells Fargo Social Impact & Sustainability Vice President. Wells Fargo has awarded a grant of nearly $1M through its Open for Business Fund, to a partnership between Caravanserai Project, Inland Empire Community Foundation and Inland Empire Community Collaborative. The grant advances the partners’ on-going strategic efforts to strengthen the infrastructure and outcomes of mission-driven organizations in the Inland Empire of California through capacity building and technical assistance programs.⁠ ⁠ #caravanseraiproject #inlandempire #socialimpact #socialimpact #missiondrivenorganizations #socialgood #causethechange #wellsfargo"
S,"College students in the Columbus, Ohio area with an interest in the agriculture and food industry, apply before August 30th!"
A,It’s time to change the game. Stay tuned 👀 (8.19.21)
A,"Breaking: Jay-Z-Backed The Parent Co. Appoints First Black CEO In Major Public Cannabis Company, Troy Datche, find out on the latest from Benzinga by Maureen Meehan. Features The Parent Company, Troy Datcher, Michael Auerbach. #Cannabis #CannabisNews #JayZ #SocialEquity #Industry #BZCannabis."
A,An inside look into one of our data containers of freshly installed new Micro BT Units. Did you know… Our open air container design helps us save on cooling costs and on customizing containers based on equipment needs? #BTC #Bitcoin
C,"Honored to have been nominated for a FedScoop 50 Award under Industry Leadership. There are so many exceptional nominees that have forged a path of #innovation for the federal government. I’m humbled to be named among this distinguished group of government & business leaders. Not sure who nominated me but it’s great to be recognized by my colleagues. In looking at the list, so many of the names are long time friends, mentors, colleagues and role models, both personally & professionally. Being associated with their names & accomplishments is quite an honor. Definitely helps kick off a hectic mid-week with a 😃! https://lnkd.in/gF-dv-u #thankyou"
S,"hi folks! we're hiring. check out opportunities for media supervisor, media planners, assistant media planners, and media billing specialist. #hiringnow #mediaagency #mediabuying #mediaplanning"
C,"And... just like that 3 years of teaching, 1.5 years of virtual learning are in the books! Feeling incredibly lucky and grateful to have spent the last 3 years teaching with the most supportive and passionate group of teachers at the most special school in the world. It feels so bittersweet to say goodbye to the city’s greatest school and most spirited students that will forever have my heart. I am simultaneously feeling incredibly humbled and grateful to be moving on to my next adventure - beginning studying towards an Ed.D. at PennGSE. I'm so grateful to be able to continue to grow as an educator and a learner, and continue to positively impact the incredible schools here in the city that has given me everything."
C,"Well… I’ve made it this far. I’ve waited so long to be in the position that I’m in now. Every hurdle, obstacle, set back was 100% WORTH IT. Officially a Pharmacy student at THE University of Florida College of Pharmacy Go chase what you want! #success #motivation #growth #GatoRx"
S,"Software engineers at PNNL combine domain subject matter expertise with software engineering to produce first-of-a-kind or niche software solutions. We apply wide-ranging expertise—cloud engineering, data engineering, DevSecOps, machine learning operations, machine learning engineering, test engineering, user experience—to create and deploy scalable and sustainable products that address national security, environmental, and energy challenges. If you are interested in creating state-of-the-art software solutions and technologies applied to high impact, national-level problems, join us."
C,"What an amazing day yesterday in Troy Township, Ohio, where we officially broke ground on Peloton Output Park! Our first U.S. factory built from the ground up, POP is expected to bring over 2,000 jobs to the region across executive, managerial, and entry-level opportunities.  We are thrilled to bring a good portion of our manufacturing to United States soil and proud that it will be in the great state of Ohio. This state-of-the-art facility will have more than one million square feet of manufacturing, office, and amenities space, making it one of the largest connected fitness manufacturing plants in the world. We are incredibly excited to meet and welcome the Troy Township community into the Peloton Interactive family fold and look forward to the scheduled opening of the facility in 2023! #technology #innovation #manufacturing"
C,"For my first official post, I wanted to share that I will be starting my professional career at Mondelēz International as a Packaging Engineer. I am very humbled to have the opportunity to express my passion for packaging through such a great company. Thank you to everyone that has helped me along my journey. #snackingmaderight"
S,Great opportunity for #entrepreneurship early career and postgraduate researchers to publish their insights. Really like this initiative by the editors of International Journal of Entrepreneurship and Innovation! Now looking forward to the first FPRNs.
C,"I'm ecstatic to have just received the official National Science Foundation (NSF) award notice for my three-year project with Mo Wang & Aaron Hill to conduct ""A Multilevel Examination of Board Composition and Firm Effectiveness""!"
C,Congrats to my brother John de Souza and the Ample team! Excited about the progress they’re making with battery-swapping to make electric vehicles more accessible for all. #electricvehicles #tesla #automotive #battery #energy
C,my recent papaer on zinc finger protein binding to DNA
A,"As we prepare to open our seven-story dedicated cancer facility next year, we have asked our patients to take a leading role in shaping the care journey to ensure we create the healing environment they look for. We have established a Patient and Family Advisory Council with cancer patients, survivors and their families and have involved them in every aspect of this journey, from how to design patient care areas to the development of wellness programs for the cancer center.   We have also created mock-up exam rooms for cancer patients to visit and experience the services that will be offered. One of the feedbacks we received is an interest in a holistic approach to wellbeing that looks after the care model before, during and after treatment. Therefore, we are currently running a pilot lifestyle medicine program for our breast cancer patients.   Such feedback channels are key enablers in delivering tailored and world-class oncology care at home, and as a patient-centric organization our patients and their families provide invaluable input in designing this elevated care at Cleveland Clinic Abu Dhabi."
C,"Together with our partners, StoreWest will be building Alberta's first Lifestyle Storage facility with a fully integrated express auto wash tunnel. This is a game changer and I am both excited and grateful to be part of such an innovative project. #yycrealestate #yycbusiness #investment #carwash #selfstorage #development"
A,"Sarah Kim introduced me to this book for left brained leaders who want to improve their company culture. If the title speaks to you, do me a favor and go buy this book and improve the culture of your company."
A,When executives invent a mission.
S,"🚨 Dream job alert..! Part-time, Flexible, Creative, High-impact, Remote, Values-led (specifically by these values: Willingness, Curiosity, and Imaginative)... The work is finding partners to hire MBAs from diverse (in terms of demographic, educational, work experience, geographic) backgrounds in purpose-driven roles. The National Park Service is an anchor client, and you'd help us build similar partnerships with other values-aligned employers across sectors like those we worked with in the pre-Covid era (Goodwill Industries of Greater New York and Northern New Jersey, Girl Rising, Medtronic LABS, Campbell Soup Company, The New York Foundling, Ms. Foundation for Women, and dozens more since 2014). Learn more from the posting linked below. And if you haven't heard of the Purposeful Growth Institute yet, but think it sounds a lot like Inspiring Capital, you're onto something - stay tuned for announcement coming soon... #futureofleadership #goingfirst #purpose #hiring #jobs"
C,We are pleased to announce the addition of Victoria Lai to the Longitude team. Victoria will serve as a Vice President on our #HealthSolutions team. Welcome Victoria!
A,"Our second #BodhiBookClub suggestion is worth the read. ""Credit Suisse lost approximately $5.5 billion following the March 2021 default of Archegos Capital Management, LP, the family office of Sung Kook “Bill” Hwang, a New York-based former hedge fund manager. Credit Suisse Board of Directors appointed a special committee to conduct a comprehensive investigation and report its findings."" Click the link to read: https://lnkd.in/ev7BFHgX #BodhiResearchGroup #CreditSuisse #Archegos"
A,#Generosity #Humanity #Poland #Zabka #ESG #MariaAndrejczyk #Olympian
A,Remote work should be an opportunity to find talents around the world and increase diversity in companies. Not for a pay cut.
S,Uber is looking for an all-star social impact professional to join my team for a 6-month contract with possible conversion to FTE. The role requires 3-5 years experience. DM for more details or if you know anyone interested!
C,"Some personal news, as they say — I started a new role at Wix.com, joining Susan Kaplow and Rob Goodman on the content team. I’ve spent most of my career working with creatives and entrepreneurs — couldn’t be more excited to work on the content and resources that will help more of them start and grow their online businesses. Awesome people, awesome products, awesome community — at the risk of being unbearably cheesy (sorry!), it’s my dream job. Thank you to Susan and Rob and the whole team for the opportunity."
S,"Hi everyone! I need your help! Click now and upvote our #impact panel for SXSW 2022 and help us put the world of purpose centered business where it belongs! https://lnkd.in/dfvPTXYv We have a chance to be on one of the main stages at the largest international festivals in the world, but need you to click, sign in and vote! In partnership with DC based Halcyon, Ahmad Ashkar of the Hult Prize and Falafel Inc will be joined by the Chairman of the Board of Beyond Meat, Seth Goldman - who is also the founder of Honest Tea, PLNT Burger and Eat the Change. It’s going to be a bad ass conversation about why impact-driven businesses are the only way to roll in the 21st Century. Yallah go vote! Thank you."
A,"Great service, great food, great view, terrible tap water. Get a Purezza premium water system and control every part of the experience. Let me help you bring luxury Premium Purezza Sparkling water to your venue. #hotelindustry #restaurantindustry #environmentallyfriendly #purezza #purezzawater #purezzausawater #waterdispenser #purezzapremiumwater"
C,"Time for some *priceless* life updates! I am excited to have joined Mastercard as a full-time Associate Product Specialist as part of the Mastercard Launch program in Purchase, NY. I will be spending the next eighteen months meeting cool people, learning about the company, and working on amazing projects and products, and I can’t think of a better way to have started my career. Thank you to the University Recruiting and Launch teams for welcoming me to this big global family—it was an amazing first week! #mastercardemployee"
C,"It’s official! I’m proud to join the Mastercard Talent Discovery team to help attract top-tier diverse talent into the workplace. Mastercard was listed as #5 on DiversityInc’s 2021 Top 50 Companies for Diversity, so I’m looking forward to building on that momentum! #MastercardEmployee"
C,Please help me welcome one of the largest The Consortium for Graduate Study in Management classes ever at Michigan Ross! Can’t wait to see the amazing things these #MBA students go on to do ! #GoBlue #MichiganRoss
S,Lots of new opportunities at Counterpart International.
A,"As I celebrate one year at #Peloton, I am overwhelmed with gratitude. Gratitude for my wonderful husband William Treseder and our two children who love me unconditionally and support me wholeheartedly. Even though William is a successful entrepreneur and tech leader in his own right, he didn’t hesitate to move across the country so his wife could take her dream job. He found a way to make it work for all of us. Ọkọ mi, mo dupe! Gratitude for William Lynch and John Foley our fearless leaders who saw my gifts and gave me this amazing opportunity to serve 🙏🏾. Gratitude for every single one of our amazing Peloton team - you have all been so incredible (in spite of a global pandemic). Thank you for being kind, supportive, and high-performing. Peloton Interactive really is the best place to work! Gratitude for my former bosses, mentors, and professors who believed in me, showed me how to unlock my potential and helped make me the leader I am. Gratitude for my phenomenal parents who always remind me to focus on impact, let go of ego, and maintain an attitude of gratitude. LinkedIn Fam, I wish you every success as we all enter these last few months of 2021, but most of all I wish you much love and a grateful heart ❤️. #TogetherWeGoFar #OnePeloton #Innovation #Technology #Marketing"
A,"Most significant marketing headline of the week… TikTok is where the consumer’s attention is going. If you haven’t spent time learning about the platform and executing on it, now is the time. 👊 #marketing #advertising #ideas #perspective"
A,"The World Bank’s Vice President for Western and Central Africa, Ousmane Diagana speaks with Senior #Health Specialist Chrystelle Opope Tshivuila Matala to share her experience working on the COVID-19 Strategic Preparedness and Response Project in Côte d'Ivoire. They also discuss bold and innovative ideas for addressing vaccine hesitancy in the region.   Through the financing support from the International Development Association (IDA), the project aims to strengthen prevention and the public health systems by providing personal protective equipment to health care workers as well as adequate equipment to intensive care units and health facilities. This support will also help improve the water supply, hygiene, and sanitation at health facilities, and will finance training for health care professionals, early detection of new cases, and effective patient care.   Learn more about work in Western and Central Africa: https://lnkd.in/dYSHyR67"
C,Exciting news…we will be launching our new World Economic Forum Centre for Urban Transformation in Detroit in October.
A,This. Happy Friday.
S,"Do you have experience with Impact Evaluation and Data Visualization (i.e. Tableau) - If yes, join me at the World Economic Forum Foundations to develop an impact strategy for The Forum of Young Global Leaders! https://lnkd.in/dNDGgTdE #ImpactMeasurement #ImpactEvaulation #MonitoringAndEvaluation #ImpactStrategy #DataAnalysis #DataVisualization"
A,"Watch to learn more about how our partnership with Frazer, Ltd. helps to protect EMS professionals on the road https://bit.ly/3AWEphQ"
C,"Thrilled to lead this funding round for Techcyte. We launched Vetscan Imagyst about a year ago to lead the way in AI-driven diagnostics for animal health. With this investment, we look forward to co-developing further applications that also have potential for the human health market. Congrats Ben Cahoon and team!"
